file	status	diff_ratio	changed_pixels	total_pixels	width	height
mobile-360x800-dark-friends.png	OK	0.00000000	0	540960	345	1568
mobile-360x800-dark-guide.png	OK	0.00000000	0	456090	345	1322
mobile-360x800-dark-home-auth.png	OK	0.00000000	0	491625	345	1425
mobile-360x800-dark-home-guest.png	OK	0.00000000	0	288000	360	800
mobile-360x800-dark-login.png	OK	0.00000000	0	288000	360	800
mobile-360x800-dark-member.png	OK	0.00000000	0	1201290	345	3482
mobile-360x800-dark-privacy.png	OK	0.00000000	0	1454520	345	4216
mobile-360x800-dark-team.png	OK	0.00000000	0	345690	345	1002
mobile-360x800-dark-terms.png	OK	0.00000000	0	1426920	345	4136
mobile-360x800-dark-todo.png	OK	0.00000000	0	278760	345	808
mobile-360x800-light-friends.png	OK	0.00000000	0	540960	345	1568
mobile-360x800-light-guide.png	OK	0.00000000	0	456090	345	1322
mobile-360x800-light-home-auth.png	OK	0.00000000	0	491625	345	1425
mobile-360x800-light-home-guest.png	OK	0.00000000	0	288000	360	800
mobile-360x800-light-login.png	OK	0.00000000	0	288000	360	800
mobile-360x800-light-member.png	OK	0.00000000	0	1201290	345	3482
mobile-360x800-light-privacy.png	OK	0.00000000	0	1454520	345	4216
mobile-360x800-light-team.png	OK	0.00000000	0	345690	345	1002
mobile-360x800-light-terms.png	OK	0.00000000	0	1426920	345	4136
mobile-360x800-light-todo.png	OK	0.00000000	0	278760	345	808
mobile-390x844-dark-friends.png	OK	0.00000000	0	588000	375	1568
mobile-390x844-dark-guide.png	OK	0.00000000	0	479250	375	1278
mobile-390x844-dark-home-auth.png	OK	0.00000000	0	534375	375	1425
mobile-390x844-dark-home-guest.png	OK	0.00000000	0	329160	390	844
mobile-390x844-dark-login.png	OK	0.00000000	0	329160	390	844
mobile-390x844-dark-member.png	OK	0.00000000	0	1305750	375	3482
mobile-390x844-dark-privacy.png	OK	0.00000000	0	1486500	375	3964
mobile-390x844-dark-team.png	OK	0.00000000	0	375750	375	1002
mobile-390x844-dark-terms.png	OK	0.00000000	0	1461000	375	3896
mobile-390x844-dark-todo.png	OK	0.00000000	0	319500	375	852
mobile-390x844-light-friends.png	OK	0.00000000	0	588000	375	1568
mobile-390x844-light-guide.png	OK	0.00000000	0	479250	375	1278
mobile-390x844-light-home-auth.png	OK	0.00000000	0	534375	375	1425
mobile-390x844-light-home-guest.png	OK	0.00000000	0	329160	390	844
mobile-390x844-light-login.png	OK	0.00000000	0	329160	390	844
mobile-390x844-light-member.png	OK	0.00000000	0	1305750	375	3482
mobile-390x844-light-privacy.png	OK	0.00000000	0	1486500	375	3964
mobile-390x844-light-team.png	OK	0.00000000	0	375750	375	1002
mobile-390x844-light-terms.png	OK	0.00000000	0	1461000	375	3896
mobile-390x844-light-todo.png	OK	0.00000000	0	319500	375	852
pc-1366x768-dark-friends.png	OK	0.00000000	0	1537438	1351	1138
pc-1366x768-dark-guide.png	OK	0.00000000	0	1532034	1351	1134
pc-1366x768-dark-home-auth.png	OK	0.00000000	0	1302364	1351	964
pc-1366x768-dark-home-guest.png	OK	0.00000000	0	1049088	1366	768
pc-1366x768-dark-login.png	OK	0.00000000	0	1049088	1366	768
pc-1366x768-dark-member.png	OK	0.00000000	0	3495037	1351	2587
pc-1366x768-dark-privacy.png	OK	0.00000000	0	3982748	1351	2948
pc-1366x768-dark-team.png	OK	0.00000000	0	1577968	1351	1168
pc-1366x768-dark-terms.png	OK	0.00000000	0	3274824	1351	2424
pc-1366x768-dark-todo.png	OK	0.00000000	0	1049088	1366	768
pc-1366x768-light-friends.png	OK	0.00000000	0	1537438	1351	1138
pc-1366x768-light-guide.png	OK	0.00000000	0	1532034	1351	1134
